,dividend
1999-10-01,0.12
2000-01-01,0.12
2000-04-01,0.13
2000-07-01,0.13
2000-10-01,0.13
2001-01-01,0.13
2001-04-01,0.14
2001-07-01,0.14
2001-10-01,0.14
2002-01-01,0.14
2002-04-01,0.15
2002-07-01,0.15
2002-10-01,0.15
2003-01-01,0.15
2003-04-01,0.16
2003-07-01,0.16
2003-10-01,0.16
2004-01-01,0.16
2004-04-01,0.18
2004-07-01,0.18
2004-10-01,0.18
2005-01-01,0.18
2005-04-01,0.2
2005-07-01,0.2
2005-10-01,0.2
2006-01-01,0.2
2006-04-01,0.3
2006-07-01,0.3
2006-10-01,0.3
2007-01-01,0.3
2007-04-01,0.4
2007-07-01,0.4
2007-10-01,0.4
